,source,text,message,sex,decent,moral,person
29,https://vk.com/wall-76628628_854095,"Всем привет! Прокнула замазка на платформеры. Поэтому решил упороться в Красного Челика и Boshi.  Устроить турнир не получится, поэтому предлагаю пройти эту не сложную игру #БошиБезАбузов и посоревноваться как минимум с Филом ""кто меньше раз умрет за время прохождения"" на нормаль",Это так работает?????,male,decent,moral,imperson
30,https://vk.com/wall-76628628_854095,"Всем привет! Прокнула замазка на платформеры. Поэтому решил упороться в Красного Челика и Boshi.  Устроить турнир не получится, поэтому предлагаю пройти эту не сложную игру #БошиБезАбузов и посоревноваться как минимум с Филом ""кто меньше раз умрет за время прохождения"" на нормаль",123 BloodTrail ДА БЛЯТЬ BloodTrail Надо ФИДИТЬ BloodTrail БЛЯДСКАЯ БЛЯДИНА BloodTrail ХАРАШО BloodTrail НАДО А+ BloodTrail ХАРАШО А +,male,obscene,immoral,imperson
31,https://vk.com/wall-76628628_854095,"Всем привет! Прокнула замазка на платформеры. Поэтому решил упороться в Красного Челика и Boshi.  Устроить турнир не получится, поэтому предлагаю пройти эту не сложную игру #БошиБезАбузов и посоревноваться как минимум с Филом ""кто меньше раз умрет за время прохождения"" на нормаль",хватит 2 золотых дробителя или еще искать?,male,decent,moral,imperson
32,https://vk.com/wall-76628628_854095,"Всем привет! Прокнула замазка на платформеры. Поэтому решил упороться в Красного Челика и Boshi.  Устроить турнир не получится, поэтому предлагаю пройти эту не сложную игру #БошиБезАбузов и посоревноваться как минимум с Филом ""кто меньше раз умрет за время прохождения"" на нормаль","Он рил в I wanna be the boshy собрался, или он так мит боя называет? Я бы чекнул как пукич в боши хуярит)",male,obscene,moral,imperson
33,https://vk.com/wall-171900290_95622,,https://vk.com/vadimcleverson ну и нашёл😳🤠🐊,male,decent,moral,imperson
34,https://vk.com/wall-171900290_95622,,ржач прикол,male,decent,moral,imperson
35,https://vk.com/wall-171900290_95622,,"Пс, у меня есть годные арты и большая щепотка эччи - целая религия Стоит заглянуть) Посмотри описание",male,decent,moral,imperson
36,https://vk.com/wall-171900290_95622,,Заблокируйте меня блять,male,obscene,moral,imperson
37,https://vk.com/wall-171900290_95622,,А как себя найти?)),female,decent,moral,imperson
38,https://vk.com/wall-171900290_95622,,Вы предложку блин читаете ?,male,decent,moral,person
39,https://vk.com/wall-171900290_95622,,Ебать а в чем смысл группы?,male,obscene,moral,imperson
40,https://vk.com/wall-171900290_95622,,"Ищу людей в конфу. Главное чтоб вы понимали рофлы. Добавляйтесь в друзья с пометкой ""+""",female,decent,moral,imperson
41,https://vk.com/wall-171900290_95622,,"Ахахахахаххахахаха, ебать как смешно",male,unmarked,moral,imperson
42,https://vk.com/wall-171900290_95622,,Где посты?,male,decent,moral,imperson
43,https://vk.com/wall-171900290_95622,,Группа то сдохла,male,decent,moral,imperson
44,https://vk.com/wall-171900290_95622,,Пиздец тупой паблик,male,obscene,moral,imperson
45,https://vk.com/wall-171900290_95622,,Я в этой группе не окажусь ни при каких обстоятельствах),male,decent,moral,imperson
46,https://vk.com/wall-171900290_95622,,"ПИТЕР!!! Ищу ""грязную"", развратную, извращенye. ""шлюху"" для встреч в РЕАЛЕ. Любительницу сосать хуй, лизать жопу, ноги и яйца.Возраст от 18 до .... О себе: 37 / 177 / 82, чистоплотный, ухожен, опрятный, адекватный, с чувством юмора. Геи и трансы не интересны, я строго ГЕТЕРО!!!!",male,obscene,immoral,imperson
47,https://vk.com/wall-171900290_95622,,89612802314 позвоните ей и скажите что она шалава,male,decent,immoral,imperson
48,https://vk.com/wall-171900290_95622,,СВИНОРУСЫ,male,decent,moral,imperson
49,https://vk.com/wall-171900290_95622,,Создатель паблика армянин😕,female,decent,moral,imperson
50,https://vk.com/wall-171900290_95622,,"Я парень 35 лет, худенький. Отсосу у парня Азербайджанца. Кто в Москве.Пишите в личку.💋😋",male,decent,skipped,imperson
51,https://vk.com/wall-171900290_95622,,Пара мж - би - низы. В поиске постоянства.,female,decent,moral,imperson
52,https://vk.com/wall-171900290_95622,,"[id226185664|Кирилл], в чем смысл группы, если вы не палите имена шлюх?",male,decent,immoral,imperson
53,https://vk.com/wall-171900290_95622,,"в чем смысл группы, если не палят имена шлюх?",male,decent,immoral,imperson
54,https://vk.com/wall-171900290_95622,,"[id412185622|Даня], в том что ты шлбха",male,decent,immoral,person
55,https://vk.com/wall-171900290_95622,,"[id597991255|Артём],  контрольные все написал мелочь?",male,decent,moral,person
56,https://vk.com/wall-171900290_95622,,"[id412185622|Даня], заткнись в тряпку сучара",male,decent,immoral,person
57,https://vk.com/wall-171900290_95622,,"[id597991255|Артём], хахаха, так, агрошкооьник, ты даже предложение не можешь нормально составить. Я просто понимаю что ты обычный малолетний еблан, которого не любят в школе и он пытается казаться ""крутым"" в интернете, не больше😌",male,obscene,moral,person
58,https://vk.com/wall-171900290_95622,,"[id412185622|Даня], урыл",female,decent,moral,person
59,https://vk.com/wall-171900290_95622,,"[id412185622|Даня], хэх разьеб по фактам уважаю)",male,obscene,moral,imperson
60,https://vk.com/wall-171900290_95622,,"[id554713061|Vladislav],  мерси, сир😏",male,decent,moral,imperson
61,https://vk.com/wall-171900290_95622,,"[id418118454|Миша],  то чего не хватало , спасибо хоуми))",male,decent,moral,imperson
62,https://vk.com/wall-171900290_95622,,"[id418118454|Миша],  а пиздючок то потерялся😹😹",male,obscene,moral,imperson
63,https://vk.com/wall-171900290_95622,,"[id386150688|Илья], нет блять вымер👍",male,obscene,moral,imperson
64,https://vk.com/wall-171900290_95622,,"[id440660901|Гоша], нет блять ищи себя в прошмандовках россии и Беларуси",male,obscene,immoral,person
65,https://vk.com/wall-171900290_95622,,"[id386150688|Илья], нет блять ищи себя в тебя подшутили",male,obscene,moral,person
66,https://vk.com/wall-171900290_95622,,"[id353815011|Ибрагим], ну ты и дятел раз не понял о чем паблик",male,decent,immoral,person
67,https://vk.com/wall-171900290_95622,,"[id353815011|Ибрагим], я пояснителем не нанимался индюк бл.я, иди в задницу веник засунь и поймешь все сам😃",male,obscene,immoral,imperson
68,https://vk.com/wall-171900290_95622,,"[id353815011|Ибрагим], да я герой клавиатурный а ты манда обоссаная",male,decent,skipped,person
69,https://vk.com/wall-171900290_95622,,"[id353815011|Ибрагим], честно говоря, я тоже ничего не понимаю почему они группу назвали так. Ну придурки, что сказать",male,decent,moral,imperson
70,https://vk.com/wall-171900290_95622,,"[id353815011|Ибрагим], суть в том, что они долбаёбы. Как админ, так и все",male,obscene,moral,imperson
71,https://vk.com/wall-171900290_95622,,Аутисты просто),male,decent,moral,imperson
72,https://vk.com/wall-171900290_95622,,"[id159840961|Михаил], кубики шекш",male,decent,moral,imperson
73,https://vk.com/wall-171900290_95622,,"[id159840961|Михаил], мозги накачал????",male,decent,moral,person
74,https://vk.com/wall-171900290_95622,,"[id159840961|Михаил], он же просил не роспространять",male,decent,moral,imperson
75,https://vk.com/wall-171900290_95622,,"[id486071936|Арсений], слыш ублюдок, ебал твой рот, сын шлюхи, мы сюда ваш народ добавляем долбаёб!",male,obscene,immoral,person
76,https://vk.com/wall-171900290_95622,,"[id300329266|Хемид], у тебя беда с башкой?",male,decent,moral,person
77,https://vk.com/wall-171900290_95622,,"[id486071936|Арсений], эээ петух ебаный за базаром своим ебаным как ты сам следи народ не трогай армяшка ебучая суешь свой хуйнос куда не надо сучонок",male,obscene,immoral,person
78,https://vk.com/wall-171900290_95622,,"[id412778101|Novruz], охуеть у тебя пригорело, комментарий был старый, сейчас я понимаю что не все азеры долбаёбки, но есть пидарасы из-за которых война и началась, Так что успокойся и уходи",male,obscene,immoral,person
79,https://vk.com/wall-171900290_95622,,"[id300329266|Хемид], какие мы блять? Тут азеров в группе нету почти, и сына шлюхи ты можешь увидеть только в зеркале",male,obscene,immoral,person
80,https://vk.com/wall-171900290_95622,,Слышеш война началась не началась ты смори вобще че пишешь не обобщай на народ и ты если конкретную информацию не знаешь не стоит делать выводы из за кого и за чего на данный момент речь не обэтом идет реч идет о твоем разговоре может и группу сам создал че за хуйню вы тут пишете мужики ебать были не мужиками и останитесь,male,obscene,moral,person
81,https://vk.com/wall-171900290_95622,,"[id412778101|Novruz], я ничего не понял, говори конкретнее и короче",male,decent,moral,imperson
82,https://vk.com/wall-171900290_95622,,Если ты че то не понял значит еще не вырос че читать не умеешь или слишком хорошо для тебя написал,male,decent,moral,person
83,https://vk.com/wall-171900290_95622,,"[id412778101|Novruz], я читать умею, просто ты запятые ставить не умеешь",male,decent,moral,person
84,https://vk.com/wall-171900290_95622,,Мне их не зачем ставить прочтешь нормально поймешь,male,decent,moral,imperson
85,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Хрень полная ! Я думала будет интереснее...,female,decent,moral,imperson
86,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Фильм про маразм сих дней,male,decent,moral,imperson
87,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",фобия заразы в голову в били 😃 . как раньше воду из луж пили в лесу с пиявками . через тряпку печёнки лапухи ели редьку щявель капец маразм,male,decent,moral,imperson
88,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Паранойя убивает,male,decent,moral,imperson
89,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Женя марку не держишь Фильмец на троечку,male,decent,moral,person
90,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",куда уж лучше...он рассыпался от стараний,male,decent,moral,imperson
91,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Мне нравится, как все повторяют ""что нас ждет после того, как все закончится"". Разорённые города, сожжённые деревни, горы трупов, новый диктаторский режим? Да ничего не ждёт. Открытые кофехи - вот, что нас ждёт.",male,decent,moral,imperson
92,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Напомнило ""Бабушку"" Дэвида Линча. Пилите еще!",male,decent,moral,imperson
93,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Так во сколько выйдет ?,male,decent,moral,imperson
94,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Ожидал большего. Целых 8 минут фигни. Еле дос мотрел,male,decent,moral,imperson
95,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Бред какой то,male,decent,moral,imperson
96,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Диагноз: обширная шизофрения всей Регины,female,decent,moral,imperson
97,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",очередной трешак от пухляка,male,decent,moral,imperson
98,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Да вы че ноете то??? Сами запишите, а мы оценим..",male,decent,moral,imperson
99,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Блин ну шляпа, как так!  Так Оскар не взять.)",male,decent,moral,imperson
100,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Круто же! Женя по ходу когда-то планку на каком-то фильме задрал, теперь все требуют выше головы прыгать! Классный фильм - спецэффекты, напряжение, атмосфера - вышак))",male,decent,moral,imperson
101,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Извини.. но слабовато.. под конец ждал как в Однажды в Голливуде)) не срослось,male,decent,moral,imperson
102,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Интересно у Евгения также?! 🤣,male,decent,moral,imperson
103,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Круто! Особенно эффект рассыпания, получился даже круче чем в ""Мстителях: Финал"" где их тупо ветром сдувало.  Хорошо бы увидеть от вас полный метр, даже не сильно важно насколько он будет насыщен юмором, главное что бы с душой и легкой иронией:))  И не заморачивайтесь насчет тех кому фильм не понравился, это не должно влиять на ваше отношение к творчеству, делайте его так как вы этого хотите, или как на данный момент получается.  Главное что бы у вас все было хорошо, здоровья вам, и счастья! :-))",male,decent,moral,person
104,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","сцуко, а можно было в конце не жарить картоху с колбасками то? а то я тока проникся режиссурой, а тут жрать потянуло! ааааа, переделывай!!!",male,decent,immoral,imperson
105,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Блевотина.,male,decent,moral,imperson
106,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Скучновато ),female,decent,moral,imperson
107,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Просто в точку!! Спасибо!)),male,decent,moral,imperson
108,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Да уж, разочаровал Женя...",male,decent,moral,imperson
109,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Пидарас конченый,male,decent,immoral,imperson
110,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","жесть, в хорошем смысле этого слова!!! 🤣🤣🤣",female,decent,moral,imperson
111,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Чё там вкратце?,male,decent,moral,imperson
112,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Жека, на Патрушихе рыба клюёт?",male,decent,moral,imperson
113,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Крутой видос, мне понравился. Эффекты, атмосфера, игра актёров на уровне, впрочем как всегда😄👍🏻",male,decent,moral,imperson
114,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","А я не понял о чём этот фильм.Именно из-за концовки😁.Жизненная реальность,которая закончилась сказкой.А хотелось жизненного финала-выяснения отношений,скандала,примирения, может хохмы какой-нибудь.Но было интересно..",male,decent,moral,imperson
115,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Да хорош кулик хрень снимать и так хреново ты ещё нагнетаешь .Лучше давай поржом 😎,male,decent,moral,person
116,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Ну такое,male,decent,moral,imperson
117,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Бред... думал будет как всегда, улёт... а нет, увы 🤷🏻‍♂️",male,decent,moral,imperson
118,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","Неужели и правда вся страна сидит дома? У нас в городе все как ходили раньше, так и весь месяц ходят. Работу никто не отменял...",female,decent,moral,imperson
119,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Хрень,male,decent,moral,imperson
120,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi",Жизненно😄,male,decent,moral,imperson
121,https://vk.com/wall-71171024_36533,"Друзья! Представляю вам юмористически-фантастический триллер ""Самоизоляция"". Прошел месяц, как мы все сидим дома, и что нас ждет после того, как все закончится - никто не знает. Поэтому наш фильм с абсолютно  непредсказуемым финалом. А как вам показалось, о чем этот фильм?  #covi","[id388332940|Анастасия], почему? Выйдем на работу обросшие, опухшие от сна и алкоголя, но, мля, с чистыми руками😃😆",female,decent,moral,imperson
